date,exercise,variation,weight_kg,reps,sets,note
2026-09-02,Squat,,50,10,1,Warm-up
2026-09-02,Squat,,60,10,3,
2026-09-02,Squat,,70,3,1,
2026-09-02,Deadlift,Short bar,50,10,1,Warm-up
2026-09-02,Deadlift,Short bar,90,5,3,
2026-09-02,Deadlift,Short bar,100,3,1,
2026-09-02,Deadlift,Short bar,110,1,1,
2026-09-02,Bench Press,Feet up,30,10,1,Warm-up
2026-09-02,Bench Press,Feet up,40,8,1,
2026-09-02,Bench Press,Feet up,40,6,1,
2026-09-02,Bench Press,Feet up,40,7,1,Then 2 additional reps after a short break
2026-09-02,Lat Pulldown,,20,10,1,Warm-up
2026-09-02,Lat Pulldown,,30,10,2,
2026-09-02,Lat Pulldown,,35,10,1,
2026-09-02,Low Row,,40,10,1,
2026-09-02,Dragon Flag,,0,10,2,Bodyweight
